id,geo,measurements,harmful,low,average,health_score,
19,"MULTIPOLYGON(((-87.8535684433 41.6455673189, -87.8541779361 41.6447855452, -87.8553852859 41.6447905717, -87.8559831719 41.6455773722, -87.8553736933 41.6463591553, -87.8541663143 41.6463541286, -87.8535684433 41.6455673189)))",2,0,0,17.415,null
20,"MULTIPOLYGON(((-87.8517515582 41.646344037, -87.8523610801 41.6455622732, -87.8535684433 41.6455673189, -87.8541663143 41.6463541286, -87.8535568064 41.6471359019, -87.8523494138 41.6471308559, -87.8517515582 41.646344037)))",8,0,0,21.0037,null
152,"MULTIPOLYGON(((-87.6126977851 41.6450938924, -87.6133101674 41.6443134182, -87.6145174554 41.6443209745, -87.6151123895 41.6451090054, -87.6145000211 41.6458894892, -87.6132927038 41.6458819325, -87.6126977851 41.6450938924)))",79,0,100,4.53165,null
192,"MULTIPOLYGON(((-87.5402605481 41.6446169203, -87.5408737943 41.6438368395, -87.5420810524 41.6438451564, -87.5426750937 41.6446335547, -87.5420618616 41.6454136451, -87.5408545743 41.6454053277, -87.5402605481 41.6446169203)))",72,0,100,2.65278,null
193,"MULTIPOLYGON(((-87.5384592786 41.6438201675, -87.5390725387 41.6430400963, -87.540279782 41.6430484321, -87.5408737943 41.6438368395, -87.5402605481 41.6446169203, -87.5390532755 41.644608584, -87.5384592786 41.6438201675)))",91,0,100,2.82418,null
219,"MULTIPOLYGON(((-87.8535568064 41.6471359019, -87.8541663143 41.6463541286, -87.8553736933 41.6463591553, -87.8559715935 41.6471459557, -87.8553620998 41.6479277385, -87.8541546915 41.6479227115, -87.8535568064 41.6471359019)))",3,0,0,24.75,null
220,"MULTIPOLYGON(((-87.8517398768 41.6479126193, -87.8523494138 41.6471308559, -87.8535568064 41.6471359019, -87.8541546915 41.6479227115, -87.8535451684 41.6487044844, -87.8523377466 41.6486994382, -87.8517398768 41.6479126193)))",7,0,0,24.2357,null
350,"MULTIPOLYGON(((-87.6163023009 41.646685058, -87.6169146555 41.6459045646, -87.6181219733 41.6459120833, -87.6187169666 41.6467000957, -87.6181046255 41.6474805988, -87.6168972784 41.6474730797, -87.6163023009 41.646685058)))",21,0,100,0,null
351,"MULTIPOLYGON(((-87.6145000211 41.6458894892, -87.6151123895 41.6451090054, -87.616319692 41.6451165429, -87.6169146555 41.6459045646, -87.6163023009 41.646685058, -87.6150949692 41.6466775201, -87.6145000211 41.6458894892)))",18,0,100,0,null
391,"MULTIPOLYGON(((-87.5420618616 41.6454136451, -87.5426750937 41.6446335547, -87.5438823674 41.6446418529, -87.5444764387 41.645430242, -87.5438632198 41.646210342, -87.5426559168 41.6462020434, -87.5420618616 41.6454136451)))",2542,4.720692368214005,92.56490952006294,5.60818,null
392,"MULTIPOLYGON(((-87.5402413127 41.646185408, -87.5408545743 41.6454053277, -87.5420618616 41.6454136451, -87.5426559168 41.6462020434, -87.5420426693 41.6469821333, -87.5408353527 41.6469738154, -87.5402413127 41.646185408)))",13,0,100,5.07692,null
393,"MULTIPOLYGON(((-87.53844 41.6453886547, -87.5390532755 41.644608584, -87.5402605481 41.6446169203, -87.5408545743 41.6454053277, -87.5402413127 41.646185408, -87.5390340108 41.6461770713, -87.53844 41.6453886547)))",289,0,95.8477508650519,7.24914,null
419,"MULTIPOLYGON(((-87.8535451684 41.6487044844, -87.8541546915 41.6479227115, -87.8553620998 41.6479277385, -87.8559600142 41.6487145388, -87.8553505053 41.6494963213, -87.8541430677 41.6494912939, -87.8535451684 41.6487044844)))",4,0,0,26.575,null
420,"MULTIPOLYGON(((-87.8517281945 41.6494812012, -87.8523377466 41.6486994382, -87.8535451684 41.6487044844, -87.8541430677 41.6494912939, -87.8535335296 41.6502730665, -87.8523260785 41.65026802, -87.8517281945 41.6494812012)))",5,0,0,25.696,null
550,"MULTIPOLYGON(((-87.6162849084 41.6482535727, -87.6168972784 41.6474730797, -87.6181046255 41.6474805988, -87.6186996327 41.6482686113, -87.6180872762 41.6490491139, -87.6168798999 41.6490415944, -87.6162849084 41.6482535727)))",11,0,100,0,null
590,"MULTIPOLYGON(((-87.5438440707 41.6477788307, -87.544457305 41.6469987311, -87.5456646233 41.6470070109, -87.5462587371 41.6477953909, -87.5456455174 41.6485755001, -87.5444381697 41.6485672198, -87.5438440707 41.6477788307)))",424,0,100,6.9316,null
591,"MULTIPOLYGON(((-87.5420426693 41.6469821333, -87.5426559168 41.6462020434, -87.5438632198 41.646210342, -87.544457305 41.6469987311, -87.5438440707 41.6477788307, -87.5426367384 41.6477705316, -87.5420426693 41.6469821333)))",1141,0,96.58194566170026,6.27783,null
593,"MULTIPOLYGON(((-87.5384207199 41.6469571416, -87.5390340108 41.6461770713, -87.5402413127 41.646185408, -87.5408353527 41.6469738154, -87.5402220757 41.6477538953, -87.5390147446 41.6477455582, -87.5384207199 41.6469571416)))",235,0,100,5.48936,null
619,"MULTIPOLYGON(((-87.8535335296 41.6502730665, -87.8541430677 41.6494912939, -87.8553505053 41.6494963213, -87.8559484339 41.6502831214, -87.85533891 41.6510649036, -87.8541314431 41.651059876, -87.8535335296 41.6502730665)))",6,0,0,21.525,null
620,"MULTIPOLYGON(((-87.8517165113 41.6510497827, -87.8523260785 41.65026802, -87.8535335296 41.6502730665, -87.8541314431 41.651059876, -87.8535218899 41.6518416482, -87.8523144094 41.6518366014, -87.8517165113 41.6510497827)))",4,0,0,19.91,null
