id,geometry
49,"POLYGON ((-87.53245664345843 42.01823529857762, -87.54077618303108 42.01343201016582, -87.54077618303108 42.00382543334221, -87.53245664345843 41.99902214493041, -87.52413710388578 42.00382543334221, -87.52413710388578 42.01343201016582, -87.53245664345843 42.01823529857762))"
50,"POLYGON ((-87.94011408251845 42.00382543334221, -87.9484336220911 41.99902214493041, -87.9484336220911 41.9894155681068, -87.94011408251845 41.984612279695, -87.9317945429458 41.9894155681068, -87.9317945429458 41.99902214493041, -87.94011408251845 42.00382543334221))"
51,"POLYGON ((-87.92347500337314 42.00382543334221, -87.9317945429458 41.99902214493041, -87.9317945429458 41.9894155681068, -87.92347500337314 41.984612279695, -87.91515546380049 41.9894155681068, -87.91515546380049 41.99902214493041, -87.92347500337314 42.00382543334221))"
52,"POLYGON ((-87.90683592422783 42.00382543334221, -87.91515546380049 41.99902214493041, -87.91515546380049 41.9894155681068, -87.90683592422783 41.984612279695, -87.89851638465518 41.9894155681068, -87.89851638465518 41.99902214493041, -87.90683592422783 42.00382543334221))"
53,"POLYGON ((-87.89019684508253 42.00382543334221, -87.89851638465518 41.99902214493041, -87.89851638465518 41.9894155681068, -87.89019684508253 41.984612279695, -87.88187730550987 41.9894155681068, -87.88187730550987 41.99902214493041, -87.89019684508253 42.00382543334221))"
54,"POLYGON ((-87.87355776593722 42.00382543334221, -87.88187730550987 41.99902214493041, -87.88187730550987 41.9894155681068, -87.87355776593722 41.984612279695, -87.86523822636457 41.9894155681068, -87.86523822636457 41.99902214493041, -87.87355776593722 42.00382543334221))"
55,"POLYGON ((-87.85691868679191 42.00382543334221, -87.86523822636457 41.99902214493041, -87.86523822636457 41.9894155681068, -87.85691868679191 41.984612279695, -87.84859914721926 41.9894155681068, -87.84859914721926 41.99902214493041, -87.85691868679191 42.00382543334221))"
56,"POLYGON ((-87.84027960764661 42.00382543334221, -87.84859914721926 41.99902214493041, -87.84859914721926 41.9894155681068, -87.84027960764661 41.984612279695, -87.83196006807395 41.9894155681068, -87.83196006807395 41.99902214493041, -87.84027960764661 42.00382543334221))"
57,"POLYGON ((-87.8236405285013 42.00382543334221, -87.83196006807395 41.99902214493041, -87.83196006807395 41.9894155681068, -87.8236405285013 41.984612279695, -87.81532098892865 41.9894155681068, -87.81532098892865 41.99902214493041, -87.8236405285013 42.00382543334221))"
58,"POLYGON ((-87.80700144935599 42.00382543334221, -87.81532098892865 41.99902214493041, -87.81532098892865 41.9894155681068, -87.80700144935599 41.984612279695, -87.79868190978334 41.9894155681068, -87.79868190978334 41.99902214493041, -87.80700144935599 42.00382543334221))"
59,"POLYGON ((-87.79036237021069 42.00382543334221, -87.79868190978334 41.99902214493041, -87.79868190978334 41.9894155681068, -87.79036237021069 41.984612279695, -87.78204283063803 41.9894155681068, -87.78204283063803 41.99902214493041, -87.79036237021069 42.00382543334221))"
60,"POLYGON ((-87.77372329106538 42.00382543334221, -87.78204283063803 41.99902214493041, -87.78204283063803 41.9894155681068, -87.77372329106538 41.984612279695, -87.76540375149273 41.9894155681068, -87.76540375149273 41.99902214493041, -87.77372329106538 42.00382543334221))"
61,"POLYGON ((-87.75708421192007 42.00382543334221, -87.76540375149273 41.99902214493041, -87.76540375149273 41.9894155681068, -87.75708421192007 41.984612279695, -87.74876467234742 41.9894155681068, -87.74876467234742 41.99902214493041, -87.75708421192007 42.00382543334221))"
62,"POLYGON ((-87.74044513277477 42.00382543334221, -87.74876467234742 41.99902214493041, -87.74876467234742 41.9894155681068, -87.74044513277477 41.984612279695, -87.73212559320211 41.9894155681068, -87.73212559320211 41.99902214493041, -87.74044513277477 42.00382543334221))"
63,"POLYGON ((-87.72380605362946 42.00382543334221, -87.73212559320211 41.99902214493041, -87.73212559320211 41.9894155681068, -87.72380605362946 41.984612279695, -87.71548651405681 41.9894155681068, -87.71548651405681 41.99902214493041, -87.72380605362946 42.00382543334221))"
64,"POLYGON ((-87.70716697448415 42.00382543334221, -87.71548651405681 41.99902214493041, -87.71548651405681 41.9894155681068, -87.70716697448415 41.984612279695, -87.6988474349115 41.9894155681068, -87.6988474349115 41.99902214493041, -87.70716697448415 42.00382543334221))"
65,"POLYGON ((-87.69052789533885 42.00382543334221, -87.6988474349115 41.99902214493041, -87.6988474349115 41.9894155681068, -87.69052789533885 41.984612279695, -87.68220835576619 41.9894155681068, -87.68220835576619 41.99902214493041, -87.69052789533885 42.00382543334221))"
66,"POLYGON ((-87.67388881619354 42.00382543334221, -87.68220835576619 41.99902214493041, -87.68220835576619 41.9894155681068, -87.67388881619354 41.984612279695, -87.66556927662089 41.9894155681068, -87.66556927662089 41.99902214493041, -87.67388881619354 42.00382543334221))"
67,"POLYGON ((-87.65724973704823 42.00382543334221, -87.66556927662089 41.99902214493041, -87.66556927662089 41.9894155681068, -87.65724973704823 41.984612279695, -87.64893019747558 41.9894155681068, -87.64893019747558 41.99902214493041, -87.65724973704823 42.00382543334221))"
68,"POLYGON ((-87.64061065790293 42.00382543334221, -87.64893019747558 41.99902214493041, -87.64893019747558 41.9894155681068, -87.64061065790293 41.984612279695, -87.63229111833027 41.9894155681068, -87.63229111833027 41.99902214493041, -87.64061065790293 42.00382543334221))"
69,"POLYGON ((-87.62397157875762 42.00382543334221, -87.63229111833027 41.99902214493041, -87.63229111833027 41.9894155681068, -87.62397157875762 41.984612279695, -87.61565203918497 41.9894155681068, -87.61565203918497 41.99902214493041, -87.62397157875762 42.00382543334221))"
70,"POLYGON ((-87.60733249961231 42.00382543334221, -87.61565203918497 41.99902214493041, -87.61565203918497 41.9894155681068, -87.60733249961231 41.984612279695, -87.59901296003966 41.9894155681068, -87.59901296003966 41.99902214493041, -87.60733249961231 42.00382543334221))"
71,"POLYGON ((-87.59069342046701 42.00382543334221, -87.59901296003966 41.99902214493041, -87.59901296003966 41.9894155681068, -87.59069342046701 41.984612279695, -87.58237388089435 41.9894155681068, -87.58237388089435 41.99902214493041, -87.59069342046701 42.00382543334221))"
72,"POLYGON ((-87.5740543413217 42.00382543334221, -87.58237388089435 41.99902214493041, -87.58237388089435 41.9894155681068, -87.5740543413217 41.984612279695, -87.56573480174904 41.9894155681068, -87.56573480174904 41.99902214493041, -87.5740543413217 42.00382543334221))"
73,"POLYGON ((-87.55741526217639 42.00382543334221, -87.56573480174904 41.99902214493041, -87.56573480174904 41.9894155681068, -87.55741526217639 41.984612279695, -87.54909572260374 41.9894155681068, -87.54909572260374 41.99902214493041, -87.55741526217639 42.00382543334221))"
74,"POLYGON ((-87.54077618303108 42.00382543334221, -87.54909572260374 41.99902214493041, -87.54909572260374 41.9894155681068, -87.54077618303108 41.984612279695, -87.53245664345843 41.9894155681068, -87.53245664345843 41.99902214493041, -87.54077618303108 42.00382543334221))"
75,"POLYGON ((-87.9317945429458 41.9894155681068, -87.94011408251845 41.984612279695, -87.94011408251845 41.97500570287139, -87.9317945429458 41.97020241445959, -87.92347500337314 41.97500570287139, -87.92347500337314 41.984612279695, -87.9317945429458 41.9894155681068))"
76,"POLYGON ((-87.91515546380049 41.9894155681068, -87.92347500337314 41.984612279695, -87.92347500337314 41.97500570287139, -87.91515546380049 41.97020241445959, -87.90683592422783 41.97500570287139, -87.90683592422783 41.984612279695, -87.91515546380049 41.9894155681068))"
77,"POLYGON ((-87.89851638465518 41.9894155681068, -87.90683592422783 41.984612279695, -87.90683592422783 41.97500570287139, -87.89851638465518 41.97020241445959, -87.89019684508253 41.97500570287139, -87.89019684508253 41.984612279695, -87.89851638465518 41.9894155681068))"
78,"POLYGON ((-87.88187730550987 41.9894155681068, -87.89019684508253 41.984612279695, -87.89019684508253 41.97500570287139, -87.88187730550987 41.97020241445959, -87.87355776593722 41.97500570287139, -87.87355776593722 41.984612279695, -87.88187730550987 41.9894155681068))"
79,"POLYGON ((-87.86523822636457 41.9894155681068, -87.87355776593722 41.984612279695, -87.87355776593722 41.97500570287139, -87.86523822636457 41.97020241445959, -87.85691868679191 41.97500570287139, -87.85691868679191 41.984612279695, -87.86523822636457 41.9894155681068))"
80,"POLYGON ((-87.84859914721926 41.9894155681068, -87.85691868679191 41.984612279695, -87.85691868679191 41.97500570287139, -87.84859914721926 41.97020241445959, -87.84027960764661 41.97500570287139, -87.84027960764661 41.984612279695, -87.84859914721926 41.9894155681068))"
81,"POLYGON ((-87.83196006807395 41.9894155681068, -87.84027960764661 41.984612279695, -87.84027960764661 41.97500570287139, -87.83196006807395 41.97020241445959, -87.8236405285013 41.97500570287139, -87.8236405285013 41.984612279695, -87.83196006807395 41.9894155681068))"
82,"POLYGON ((-87.81532098892865 41.9894155681068, -87.8236405285013 41.984612279695, -87.8236405285013 41.97500570287139, -87.81532098892865 41.97020241445959, -87.80700144935599 41.97500570287139, -87.80700144935599 41.984612279695, -87.81532098892865 41.9894155681068))"
83,"POLYGON ((-87.79868190978334 41.9894155681068, -87.80700144935599 41.984612279695, -87.80700144935599 41.97500570287139, -87.79868190978334 41.97020241445959, -87.79036237021069 41.97500570287139, -87.79036237021069 41.984612279695, -87.79868190978334 41.9894155681068))"
84,"POLYGON ((-87.78204283063803 41.9894155681068, -87.79036237021069 41.984612279695, -87.79036237021069 41.97500570287139, -87.78204283063803 41.97020241445959, -87.77372329106538 41.97500570287139, -87.77372329106538 41.984612279695, -87.78204283063803 41.9894155681068))"
85,"POLYGON ((-87.76540375149273 41.9894155681068, -87.77372329106538 41.984612279695, -87.77372329106538 41.97500570287139, -87.76540375149273 41.97020241445959, -87.75708421192007 41.97500570287139, -87.75708421192007 41.984612279695, -87.76540375149273 41.9894155681068))"
86,"POLYGON ((-87.74876467234742 41.9894155681068, -87.75708421192007 41.984612279695, -87.75708421192007 41.97500570287139, -87.74876467234742 41.97020241445959, -87.74044513277477 41.97500570287139, -87.74044513277477 41.984612279695, -87.74876467234742 41.9894155681068))"
87,"POLYGON ((-87.73212559320211 41.9894155681068, -87.74044513277477 41.984612279695, -87.74044513277477 41.97500570287139, -87.73212559320211 41.97020241445959, -87.72380605362946 41.97500570287139, -87.72380605362946 41.984612279695, -87.73212559320211 41.9894155681068))"
88,"POLYGON ((-87.71548651405681 41.9894155681068, -87.72380605362946 41.984612279695, -87.72380605362946 41.97500570287139, -87.71548651405681 41.97020241445959, -87.70716697448415 41.97500570287139, -87.70716697448415 41.984612279695, -87.71548651405681 41.9894155681068))"
89,"POLYGON ((-87.6988474349115 41.9894155681068, -87.70716697448415 41.984612279695, -87.70716697448415 41.97500570287139, -87.6988474349115 41.97020241445959, -87.69052789533885 41.97500570287139, -87.69052789533885 41.984612279695, -87.6988474349115 41.9894155681068))"
90,"POLYGON ((-87.68220835576619 41.9894155681068, -87.69052789533885 41.984612279695, -87.69052789533885 41.97500570287139, -87.68220835576619 41.97020241445959, -87.67388881619354 41.97500570287139, -87.67388881619354 41.984612279695, -87.68220835576619 41.9894155681068))"
91,"POLYGON ((-87.66556927662089 41.9894155681068, -87.67388881619354 41.984612279695, -87.67388881619354 41.97500570287139, -87.66556927662089 41.97020241445959, -87.65724973704823 41.97500570287139, -87.65724973704823 41.984612279695, -87.66556927662089 41.9894155681068))"
92,"POLYGON ((-87.64893019747558 41.9894155681068, -87.65724973704823 41.984612279695, -87.65724973704823 41.97500570287139, -87.64893019747558 41.97020241445959, -87.64061065790293 41.97500570287139, -87.64061065790293 41.984612279695, -87.64893019747558 41.9894155681068))"
93,"POLYGON ((-87.63229111833027 41.9894155681068, -87.64061065790293 41.984612279695, -87.64061065790293 41.97500570287139, -87.63229111833027 41.97020241445959, -87.62397157875762 41.97500570287139, -87.62397157875762 41.984612279695, -87.63229111833027 41.9894155681068))"
94,"POLYGON ((-87.61565203918497 41.9894155681068, -87.62397157875762 41.984612279695, -87.62397157875762 41.97500570287139, -87.61565203918497 41.97020241445959, -87.60733249961231 41.97500570287139, -87.60733249961231 41.984612279695, -87.61565203918497 41.9894155681068))"
95,"POLYGON ((-87.59901296003966 41.9894155681068, -87.60733249961231 41.984612279695, -87.60733249961231 41.97500570287139, -87.59901296003966 41.97020241445959, -87.59069342046701 41.97500570287139, -87.59069342046701 41.984612279695, -87.59901296003966 41.9894155681068))"
96,"POLYGON ((-87.58237388089435 41.9894155681068, -87.59069342046701 41.984612279695, -87.59069342046701 41.97500570287139, -87.58237388089435 41.97020241445959, -87.5740543413217 41.97500570287139, -87.5740543413217 41.984612279695, -87.58237388089435 41.9894155681068))"
97,"POLYGON ((-87.56573480174904 41.9894155681068, -87.5740543413217 41.984612279695, -87.5740543413217 41.97500570287139, -87.56573480174904 41.97020241445959, -87.55741526217639 41.97500570287139, -87.55741526217639 41.984612279695, -87.56573480174904 41.9894155681068))"
98,"POLYGON ((-87.54909572260374 41.9894155681068, -87.55741526217639 41.984612279695, -87.55741526217639 41.97500570287139, -87.54909572260374 41.97020241445959, -87.54077618303108 41.97500570287139, -87.54077618303108 41.984612279695, -87.54909572260374 41.9894155681068))"
99,"POLYGON ((-87.53245664345843 41.9894155681068, -87.54077618303108 41.984612279695, -87.54077618303108 41.97500570287139, -87.53245664345843 41.97020241445959, -87.52413710388578 41.97500570287139, -87.52413710388578 41.984612279695, -87.53245664345843 41.9894155681068))"
100,"POLYGON ((-87.94011408251845 41.97500570287139, -87.9484336220911 41.97020241445959, -87.9484336220911 41.96059583763598, -87.94011408251845 41.95579254922418, -87.9317945429458 41.96059583763598, -87.9317945429458 41.97020241445959, -87.94011408251845 41.97500570287139))"
101,"POLYGON ((-87.92347500337314 41.97500570287139, -87.9317945429458 41.97020241445959, -87.9317945429458 41.96059583763598, -87.92347500337314 41.95579254922418, -87.91515546380049 41.96059583763598, -87.91515546380049 41.97020241445959, -87.92347500337314 41.97500570287139))"
102,"POLYGON ((-87.90683592422783 41.97500570287139, -87.91515546380049 41.97020241445959, -87.91515546380049 41.96059583763598, -87.90683592422783 41.95579254922418, -87.89851638465518 41.96059583763598, -87.89851638465518 41.97020241445959, -87.90683592422783 41.97500570287139))"
103,"POLYGON ((-87.89019684508253 41.97500570287139, -87.89851638465518 41.97020241445959, -87.89851638465518 41.96059583763598, -87.89019684508253 41.95579254922418, -87.88187730550987 41.96059583763598, -87.88187730550987 41.97020241445959, -87.89019684508253 41.97500570287139))"
104,"POLYGON ((-87.87355776593722 41.97500570287139, -87.88187730550987 41.97020241445959, -87.88187730550987 41.96059583763598, -87.87355776593722 41.95579254922418, -87.86523822636457 41.96059583763598, -87.86523822636457 41.97020241445959, -87.87355776593722 41.97500570287139))"
105,"POLYGON ((-87.85691868679191 41.97500570287139, -87.86523822636457 41.97020241445959, -87.86523822636457 41.96059583763598, -87.85691868679191 41.95579254922418, -87.84859914721926 41.96059583763598, -87.84859914721926 41.97020241445959, -87.85691868679191 41.97500570287139))"
106,"POLYGON ((-87.84027960764661 41.97500570287139, -87.84859914721926 41.97020241445959, -87.84859914721926 41.96059583763598, -87.84027960764661 41.95579254922418, -87.83196006807395 41.96059583763598, -87.83196006807395 41.97020241445959, -87.84027960764661 41.97500570287139))"
